user_name,user_id,text
adampallozzi,1465806836,@codefolio So getting a new M1 mac where you can have 650 tabs open is not a selling point for you? 😂 https://t.co/kntV0fE681
alexinslc,1490850440228925444,The battery life &amp; power management on the new M1 MacBook Pro is surprising.
angelamadorfdez,2867107467,"RT @XBartolomeA: Nuevo post en https://t.co/lCMBxm1jTz:
""La ingeniería en el núcleo de la transformación"""
rockyBalboa_JR,2994349548,"@wongmjane if you don't want to use the m1 macbook, then please consider donating it to me. I really need a laptop… https://t.co/LOXxmSVHfJ"
chris_neff_pgh,135566700,RT @alyssarzg: Debian GNU/Linux running bare metal on the Apple M1 with a mainline kernel. https://t.co/GWAtwGjqFx
mikemaitoza1,900751511566811136,@edanbenatar Buy an M1 MacBook Air and send my son on his dream trip to Scotland.
nosoygusma,1009506900973707264,Mi llanto nace en realidad de la instalación de un repo sobre la arquitectura de una Mac M1 con dependencias algo m… https://t.co/OB4AjbBpyS
lape,16192231,RT @SimoneGiertz: The White House is running like a fine-tuned machine https://t.co/9qgHM1MHEn
carlos_e_ht,392986480,"RT @RubyLibHunt: JRuby 9.3.2 released: ReDoS fix, faster Time#strftime, improved Apple Silicon support https://t.co/GnTRXS3zV5"
8frogs,276638097,@getajobmike @Apple https://t.co/yBMlPXqT1H … works great here on my M1 Air … including iCloud Sync.
webmatze,1997361,"@KateDM101 Ja, ich finde auch dass der Song schon mal ein sehr guter Vorgeschmack auf das kommende Album ist :)"
PurpleRiver_Dev,30277940,"RT @linusgsebastian: I can't provide an opinion on the new M1X MacBook Pro notch.

Because it being an atrocity is not an opinion. It's a f…"
naoyanickf,71296052,MikanOSの開発環境やっとできた・・・m1 macの上でやるには、GCPなどでVMのubuntuを作って、Microsoft Remote Desktopとかでつなぐのがかんたんで良さそう
attilagyorffy,5466732,@WormsTeam17 please tell me there will be a Mac OS version available via Steam too!
devrafaeldelgad,1315954200,@adriandm1 @ROMACuaron @NetflixLAT @szurita @faustoponce @chekozaun @ximenadelam @Horacitu Seas mamon! Jaja
btihen,20433120,"RT @ponylang: Pony 0.45.0 is out!

Now with Apple Silicon M1 support.

https://t.co/WDitING0dL"
ryansdwilson,30778626,RT @patio11: If your first love in computers also happened to be machine learning then this will probably be a fun read: https://t.co/77M1D…
nachiketp87,1148241259,"RT @sab8a: 🎉 I'm giving away this brand new M1 MacBook Pro (M1)

🔄To enter, just Retweet this tweet.

👩‍💻We are growing our dev team at @ve…"
