,text,polarity
72,RT @JulitaGuillen: Más 66 mil personas conectadas a la señal de #NTN24 por Youtube http://t.co/r8d8H7M1xV. ¡Que nadie se quede sin informac…,positive
73,"Apple acquired Gliimpse, a personal health data startup https://t.co/2m11AZ6E8R via @techcrunch #mhealth",negative
74,What We Learned Designing a #Chatbot for Banking by @macieklipiec https://t.co/3M1sAxOXNF https://t.co/1pjqA5WEwY,positive
75,RT @hsbt: Ruby 3.0 is ready to support Big Sur with Apple Silicon https://t.co/nXviPePC0a #ruby,negative
76,"@aarondjents You can view in the latest Apple event, M1 has everything built-in, CPU, Memory, GPU, so basically nex… https://t.co/S4v8iYdJzi",positive
77,RT @andrewculver: This is insane. The M1-based MacBooks don’t even blink when the display configuration changes. https://t.co/moAZ1MoQ2C,positive
78,"RT @softwarejameson: We recently found that the new 2021 M1 MacBooks cut our Android build times in half.

So for a team of 9, $32k of lapt…",positive
79,@jaredcwhite Got me thinking about an M1 mini at Mac Stadium for my next thing...,positive
80,@jckmotv @brave on Apple Silicon won’t,positive
81,"Python people! 

what's the cleanest, simplest way to install and manage python versions on an M1 mac?",negative
82,RT @derekcollison: Finally got around to running some of the @nats_io server benchmarks on the @Apple M1. wow. iMacPro listed as well for c…,positive
83,"m1 pro 芯片使用体验太舒服了, 拿着 MacBook pro 16 寸, 基本用一天不用考虑充电. 以前端着一两个小时就要找奶嘴...",positive
84,"PS5 もしばら転売勢の影響で通常価格で買えそうも無いし
新しいゲームハードとして
M1 Mac Mini を買おうかと思い始めてる
開発環境構築とか楽しそうだし",positive
85,"@gempain FWIW Docker Desktop 4.3 for Apple M1 silicon on the client side is now native, ie, no need for Rosetta.… https://t.co/NDw7NWMmEZ",negative
86,RT @GregSchwanbeck: How to mirror your #iPad on your #MacBook: http://t.co/vxGCM1JwcZ,positive
87,"xmas is  on 01/26/2009. http://bit.ly/7vm1Lj
#apple",positive
88,"RT @timsneath: Announcing Dart 2.14, with Apple Silicon support, new lints to help improve your code quality, performance and package impro…",positive
89,"RT @MoureDev: ☠️ SORTEO 4 CAMISETAS ☠️

Gana la camiseta pirata Apple M1 ""They're coM1ng"" 🏴‍☠️

👉🏼 PARTICIPA:
1️⃣ Sigue a @macnificos 
2️⃣…",positive
90,Mac M1 通过docker部署Centos7、MySql等常用镜像 https://t.co/DsbpaBSKe0 通过 @Inoreader,positive
91,"Just bought a Mac Mini m1 on the Apple refurb store!

I just can't wait to try it 🤪",positive
92,RT @ThePracticalDev: Apple has replaced their long-running Intel processors with their own M1 chip. To help you take full advantage of the…,positive
93,"Android : 79% de parts de marché en 2013, 4 fois plus de smartphones vendus qu’Apple et Microsoft réunis http://t.co/8KyCRCm1lZ",positive
94,RT @mathdroid: We were at @MuseumMACAN and found some underappreciated pieces https://t.co/bnoGedXm1A,positive
95,eGPU付けてスペックフルフルのMacBookProより、M1のMacBookAirに直接大型モニタ繋いで作業した方が快適だ。Parallesに載せたWindows10以外は・・うーむ,positive
96,Good to see that Apple's Messages app is still slow on a M1 Pro + 32GB machine. At least I know the beach-balling a… https://t.co/AUcUsp4QVD,negative
97,"RT @AsahiLinux: Of course, Asahi Linux integrates with the native multi-boot support on Apple Silicon Macs. Linux? macOS? Both!

In fact, i…",positive
98,"RT @dougallj: I've been reverse engineering the Apple M1 GPU architecture. My notes and tools are at https://t.co/w3iuFhH1JM

Today was spe…",negative
99,RT @MacRumors: The new M1 #iMac https://t.co/DmOkpsObfS,positive
